ref_id,familia,peso_neto_kg
904802,CORONA DE ARRANQUE,0.68
906005,CORONA DE ARRANQUE,5.014
906103,CORONA DE ARRANQUE,0.824
906995,ARO,0.95
911002,MASSERING,1.97
911100,MASSERING,0.7
911201,MASSERING,0.97
911302,MASSERING,2.236
913500,CORONA DE ARRANQUE,0.575
913600,CORONA DE ARRANQUE,0.705
915000,CORONA DE ARRANQUE,1.0
915003,CORONA DE ARRANQUE,0.70931
915005,CORONA DE ARRANQUE,0.71
916200,CORONA DE ARRANQUE,1.27
916800,CORONA DE ARRANQUE,1.03
916801,CORONA DE ARRANQUE,1.05
918201,CORONA DE ARRANQUE,1.476
918801,CORONA DE ARRANQUE,0.522
918900,CORONA DE ARRANQUE,0.66
919600,CORONA DE ARRANQUE,0.496
920000,CORONA DE ARRANQUE,1.7
920701,CORONA DE ARRANQUE,0.81
936105,CORONA DE ARRANQUE,2.8
936205,CORONA DE ARRANQUE,2.8
936305,CORONA DE ARRANQUE,2.96
963180,CORONA DE ARRANQUE,0.681
993386,CORONA DE ARRANQUE,4.68
994386,CORONA DE ARRANQUE,4.68
Y-9700,CORONA DE ARRANQUE,1.5
000405,,0
003304,,0
011028,,0
011900,,0
012301,,0
028811,,0
031100,,0
031275,,0
081103,,0
081147,,0
081208,,0
081216,,0
081290,,0
081404,,0
081730,,0
081806,,0
081906,,0
081910,,0
091105,,0
091135,,0
091177,,0
091232,,0
091501,,0
091502,,0
091503,,0
100346,,0
102902,,0
109800,,0
114282,,0
118001,,0
118506,,0
124203,,0
429804,,0
480454,,0
500460,,0
503140,,0
603475,,0
613802,,0
613804,,0
700748,,0
908701,,0
918506,,0
