ref_id,ref_id_str,machine_name,piezas_hora_teorico
908701.0,908701.0,Talladora21 LUK3,66.23
91232.0,91232.0,Talladora21 LUK3,68.5
0305.0,0305.0,Talladora216,18.45
473205.0,473205.0,Talladora216,22.39
936105.0,936105.0,Talladora216,17.6
936205.0,936205.0,Talladora216,16.38
0305.0,0305.0,Talladora217,18.52
473205.0,473205.0,Talladora217,22.52
936105.0,936105.0,Talladora217,17.66
936205.0,936205.0,Talladora217,17.74
124203.0,124203.0,Talladora230 Sachs,32.81
81901.0,81901.0,Talladora230 Sachs,36.89
81906.0,81906.0,Talladora230 Sachs,40.26
8091.0,8091.0,Talladora302,28.0
81000.0,81000.0,Talladora302,44.83
81103.0,81103.0,Talladora302,47.34
81290.0,81290.0,Talladora302,55.83
81302.0,81302.0,Talladora302,46.12
81602.0,81602.0,Talladora302,38.61
81803.0,81803.0,Talladora302,55.2
81901.0,81901.0,Talladora302,35.62
81906.0,81906.0,Talladora302,39.94
902081.0,902081.0,Talladora302,21.52
904802.0,904802.0,Talladora302,28.26
91232.0,91232.0,Talladora302,44.89
918506.0,918506.0,Talladora302,48.24
124203.0,124203.0,Talladora40 LUK1,33.48
81901.0,81901.0,Talladora40 LUK1,33.85
8203.0,8203.0,Talladora40 LUK1,67.42
902081.0,902081.0,Talladora40 LUK1,30.34
118001.0,118001.0,Talladora44 LUK2,42.5
563404.0,563404.0,Talladora44 LUK2,62.9
6700.0,6700.0,Talladora44 LUK2,47.62
81803.0,81803.0,Talladora44 LUK2,39.56
81901.0,81901.0,Talladora44 LUK2,33.0
81906.0,81906.0,Talladora44 LUK2,33.98
81910.0,81910.0,Talladora44 LUK2,24.73
902081.0,902081.0,Talladora44 LUK2,23.33
904802.0,904802.0,Talladora44 LUK2,37.0
91232.0,91232.0,Talladora44 LUK2,37.12
31275.0,31275.0,Talladora47,50.22
563404.0,563404.0,Talladora47,57.07
0305.0,0305.0,Talladora49,20.99
28811.0,28811.0,Talladora49,26.06
473205.0,473205.0,Talladora49,16.14
510086.0,510086.0,Talladora49,18.3
936105.0,936105.0,Talladora49,16.88
936205.0,936205.0,Talladora49,20.61
109800.0,109800.0,Talladora52,41.74
3304.0,3304.0,Talladora52,35.31
42421.0,42421.0,Talladora52,29.87
81602.0,81602.0,Talladora52,33.44
902081.0,902081.0,Talladora52,24.23
904802.0,904802.0,Talladora52,30.12
913600.0,913600.0,Talladora52,51.99
91503.0,91503.0,Talladora52,51.95
81216.0,81216.0,Talladora55,42.44
918506.0,918506.0,Talladora55,59.63
31275.0,31275.0,Talladora56,50.91
55105.0,55105.0,Talladora56,45.93
81216.0,81216.0,Talladora56,41.01
918506.0,918506.0,Talladora56,60.57
114282.0,114282.0,Talladora83,44.2
190301.0,190301.0,Talladora83,29.46
190900.0,190900.0,Talladora83,30.13
429804.0,429804.0,Talladora83,31.7
49390.0,49390.0,Talladora83,26.76
704388.0,704388.0,Talladora83,39.02
8091.0,8091.0,Talladora83,35.43
81505.0,81505.0,Talladora83,41.0
818500.0,818500.0,Talladora83,24.53
902081.0,902081.0,Talladora83,22.0
003800,003800,Temple154,151.8
008091,008091,Temple154,224.73
031275,031275,Temple154,153.39
049390,049390,Temple154,80.0
081000,081000,Temple154,146.39
081806,081806,Temple154,138.52
081902,081902,Temple154,155.21
081910,081910,Temple154,125.74
081GJ1,081GJ1,Temple154,137.56
091135,091135,Temple154,131.6
091177,091177,Temple154,135.92
091503,091503,Temple154,145.93
114282,114282,Temple154,278.85
190301,190301,Temple154,200.31
190900,190900,Temple154,209.93
818500,818500,Temple154,63.53
904802,904802,Temple154,147.77
0305.0,0305.0,Temple19,60.07
114282.0,114282.0,Temple19,80.71
3501.0,3501.0,Temple19,94.29
42421.0,42421.0,Temple19,93.0
473205.0,473205.0,Temple19,60.96
480454.0,480454.0,Temple19,42.17
503140.0,503140.0,Temple19,62.78
510086.0,510086.0,Temple19,49.47
936105.0,936105.0,Temple19,77.47
936205.0,936205.0,Temple19,58.1
936305.0,936305.0,Temple19,68.14
118302.0,118302.0,Temple191,102.99
3501.0,3501.0,Temple191,41.88
394205.0,394205.0,Temple191,59.77
429804.0,429804.0,Temple191,38.81
473205.0,473205.0,Temple191,12.5
510086.0,510086.0,Temple191,54.46
6700.0,6700.0,Temple191,67.65
700748.0,700748.0,Temple191,79.54
704388.0,704388.0,Temple191,82.2
81302.0,81302.0,Temple191,54.81
81404.0,81404.0,Temple191,90.99
81505.0,81505.0,Temple191,64.46
936305.0,936305.0,Temple191,45.3
9400.0,9400.0,Temple191,62.64
81103.0,81103.0,Temple303,132.91
81803.0,81803.0,Temple303,20.07
81901.0,81901.0,Temple303,136.25
902081.0,902081.0,Temple303,180.87
91232.0,91232.0,Temple303,121.5
918506.0,918506.0,Temple303,88.65
012301,012301,Torno CMZ 241,30.01
011900,011900,Torno CMZ 243,28.49
81103.0,81103.0,Torno Coroa 305,86.62
81602.0,81602.0,Torno Coroa 305,78.16
81803.0,81803.0,Torno Coroa 305,88.12
81901.0,81901.0,Torno Coroa 305,46.94
81906.0,81906.0,Torno Coroa 305,46.48
902081.0,902081.0,Torno Coroa 305,55.28
91232.0,91232.0,Torno Coroa 305,87.81
918506.0,918506.0,Torno Coroa 305,86.94
0305.0,0305.0,Torno Daewo V15,30.27
473205.0,473205.0,Torno Daewo V15,46.17
936105.0,936105.0,Torno Daewo V15,25.56
936205.0,936205.0,Torno Daewo V15,34.17
124203.0,124203.0,Torno OMR,64.49
102902.0,102902.0,Torno152,25.47
114282.0,114282.0,Torno152,39.77
190301.0,190301.0,Torno152,27.62
190900.0,190900.0,Torno152,35.95
28811.0,28811.0,Torno152,34.36
3501.0,3501.0,Torno152,33.67
429804.0,429804.0,Torno152,36.67
49390.0,49390.0,Torno152,26.43
81806.0,81806.0,Torno152,36.17
81910.0,81910.0,Torno152,28.71
91105.0,91105.0,Torno152,20.73
114282.0,114282.0,Torno153,38.25
118302.0,118302.0,Torno153,31.47
190301.0,190301.0,Torno153,29.07
190900.0,190900.0,Torno153,45.64
28811.0,28811.0,Torno153,36.61
429804.0,429804.0,Torno153,36.32
49390.0,49390.0,Torno153,27.96
81901.0,81901.0,Torno153,26.68
81906.0,81906.0,Torno153,25.01
81910.0,81910.0,Torno153,29.9
92901.0,92901.0,Torno153,16.04
002260,002260,Torno165,23.28
704389,704389,Torno165,6.0
818500,818500,Torno165,20.98
000305,000305,Torno198,24.43
042421,042421,Torno198,33.62
049390,049390,Torno198,26.93
480454,480454,Torno198,23.53
503140,503140,Torno198,25.25
510086,510086,Torno198,25.1
0305.0,0305.0,Torno199,21.28
480454.0,480454.0,Torno199,19.13
49390.0,49390.0,Torno199,27.64
503140.0,503140.0,Torno199,29.26
510086.0,510086.0,Torno199,25.72
936105.0,936105.0,Torno199,13.13
936205.0,936205.0,Torno199,19.83
936305.0,936305.0,Torno199,23.22
100346.0,100346.0,Torno201,33.98
613839.0,613839.0,Torno201,25.8
008011,008011,Torno54,205.26
008091,008091,Torno54,175.6
081000,081000,Torno54,273.0
081GJ1,081GJ1,Torno54,80.68
091135,091135,Torno54,115.38
091700,091700,Torno54,140.0
902081,902081,Torno54,98.44
904802,904802,Torno54,41.86
