material_lot_id,laminado_id,ref_materia,qty_recibida,udm,peso_bruto,uds,fecha_recepcion_ts
LOTE-20250616-081000,"A/3227 25,X11,6",081000,10843.0,kg,2.03,5300.0,2025-06-16T00:00:00
LOTE-20250616-902081,"A/4108 19,15X13,25",902081,11133.0,kg,1.87,5900.0,2025-06-16T00:00:00
LOTE-20250616-0305473205,"A/4488 29,5X(20,75/19,55)",0305/473205,20592.0,kg,7.29,2700.0,2025-06-16T00:00:00
LOTE-20250618-081216,"A/3072 16,5X13,10",081216,5247.0,kg,1.52,3400.0,2025-06-18T00:00:00
LOTE-20250618-08190601,"A/3497 15,8X15,1",081906/01,11089.0,kg,1.72,6400.0,2025-06-18T00:00:00
LOTE-20250618-563404,"A/4074 17X(8,4/9,1)",563404,8085.0,kg,1.05,7700.0,2025-06-18T00:00:00
LOTE-20250618-936205,"A/4240 28X18,2",936205,23715.0,kg,5.47,4300.0,2025-06-18T00:00:00
LOTE-20250619-081602,"A/3047 13,6X13,6",081602,5571.0,kg,1.54,3600.0,2025-06-19T00:00:00
LOTE-20250619-031275,"A/3048 12,1X12,1",031275,5302.0,kg,1.0,5300.0,2025-06-19T00:00:00
LOTE-20250619-091135,"A/3778 13,5X12,3",091135,5010.0,kg,1.18,4200.0,2025-06-19T00:00:00
LOTE-20250619-081303,"A/4032 13,6X9,6",081303,5527.0,kg,1.04,5300.0,2025-06-19T00:00:00
LOTE-20250619-081803,"A/4050 13X(11,3/10,7)",081803,2722.0,kg,1.0,2700.0,2025-06-19T00:00:00
LOTE-20250623-613802,"A/1204 37X(17,8/16,4)",613802,14446.0,kg,7.8,1800.0,2025-06-23T00:00:00
LOTE-20250623-100346,"A/1215 44,3X(17,6/15,7)",100346,10116.0,kg,8.85,1100.0,2025-06-23T00:00:00
LOTE-20250623-08190601,"A/3497 16,1X15,1",081906/01,25110.0,kg,1.72,14500.0,2025-06-23T00:00:00
LOTE-20250626-904802,"A/3037 13,6X13,6",904802,5605.0,kg,1.35,4100.0,2025-06-26T00:00:00
LOTE-20250626-918506118506,"A/3112 13X10,1",918506/118506,8675.0,kg,1.0,8600.0,2025-06-26T00:00:00
LOTE-20250626-081GJ1081290,"A/4426 16,4X10,1",081GJ1/081290,10810.0,kg,1.54,7000.0,2025-06-26T00:00:00
LOTE-20250627-081910,"A/3066 18X15,7",081910,5256.0,kg,1.99,2600.0,2025-06-27T00:00:00
LOTE-20250627-086503,"A/3170 17X(11,7/12,4)",086503,5357.0,kg,1.48,3600.0,2025-06-27T00:00:00
LOTE-20250627-081303,"A/4032 13,6X9,6",081303,5547.0,kg,1.04,5300.0,2025-06-27T00:00:00
LOTE-20250627-081803,"A/4050 13X(11,3/10,7)",081803,8250.0,kg,1.0,8200.0,2025-06-27T00:00:00
LOTE-20250630-613802,"A/1204 37X(17,8/16,4)",613802,7684.0,kg,7.8,980.0,2025-06-30T00:00:00
LOTE-20250630-081216,"A/3072 16,5X13,10",081216,7074.0,kg,1.52,4600.0,2025-06-30T00:00:00
LOTE-20250630-086503,"A/3170 17X(11,7/12,4)",086503,9889.0,kg,1.48,6600.0,2025-06-30T00:00:00
LOTE-20250630-081000,"A/3227 25,X11,6",081000,7949.0,kg,2.03,3900.0,2025-06-30T00:00:00
LOTE-20250630-0305473205,"A/4488 29,5X(20,75/19,55)",0305/473205,16686.0,kg,7.29,2200.0,2025-06-30T00:00:00
LOTE-20250704-613802,"A/1204 37X(17,8/16,4)",613802,12785.0,kg,7.8,1600.0,2025-07-04T00:00:00
LOTE-20250704-613839804,"A/1575 49X21,5",613839/804,6747.0,kg,12.31,540.0,2025-07-04T00:00:00
LOTE-20250704-510086,"A/4167 20X17,5",510086,5312.0,kg,3.77,1400.0,2025-07-04T00:00:00
LOTE-20250707-081602,"A/3047 13,6X13,6",081602,5177.0,kg,1.54,3300.0,2025-07-07T00:00:00
LOTE-20250707-081000,"A/3227 25,X11,6",081000,13346.0,kg,2.03,6500.0,2025-07-07T00:00:00
LOTE-20250707-081103,"A/4047 13X11,1",081103,5671.0,kg,0.9,6300.0,2025-07-07T00:00:00
LOTE-20250709-08190601,"A/3497 16,1X15,1",081906/01,23678.0,kg,1.72,14500.0,2025-07-09T00:00:00
LOTE-20250710-918506118506,"A/3112 13X10,1",918506/118506,9402.0,kg,0.9,9200.0,2025-07-10T00:00:00
LOTE-20250710-081000,"A/3227 25,X11,6",081000,15291.0,kg,2.03,14800.0,2025-07-10T00:00:00
LOTE-20250711-086503,"A/3170 17X(11,7/12,4)",086503,6323.0,kg,1.48,4200.0,2025-07-11T00:00:00
LOTE-20250711-028811,"A/4066 17X14,4",028811,5573.0,kg,2.55,2100.0,2025-07-11T00:00:00
