machine_id,machine_name,ts_cambio,piezas_hasta_cambio,scrap_hasta_cambio,duracion_cambio_min,ops_hasta_cambio
48,Talladora CNC 48,2025-01-24 02:51:00,33660.0,0.0,0.0,19.0
48,Talladora CNC 48,2025-01-24 03:08:00,0.0,0.0,61.0,1.0
48,Talladora CNC 48,2025-01-31 00:32:00,65298.0,32.0,29.0,26.0
48,Talladora CNC 48,2025-02-04 15:11:00,22705.0,15.0,32.0,9.0
48,Talladora CNC 48,2025-02-12 04:23:00,74042.0,88.0,49.0,35.0
48,Talladora CNC 48,2025-02-13 20:54:00,22265.0,13.0,39.0,14.0
48,Talladora CNC 48,2025-02-24 14:01:00,110995.0,35.0,20.0,34.0
48,Talladora CNC 48,2025-02-26 13:59:00,36820.0,0.0,32.0,17.0
48,Talladora CNC 48,2025-02-28 02:29:00,20000.0,0.0,25.0,8.0
48,Talladora CNC 48,2025-02-28 16:14:00,13118.0,2.0,18.0,3.0
48,Talladora CNC 48,2025-03-06 09:34:00,55863.0,37.0,20.0,22.0
48,Talladora CNC 48,2025-03-10 21:18:00,37465.0,5.0,17.0,10.0
48,Talladora CNC 48,2025-03-14 02:20:00,42690.0,0.0,17.0,21.0
48,Talladora CNC 48,2025-03-21 12:46:00,87019.0,31.0,3.0,31.0
48,Talladora CNC 48,2025-03-21 12:51:00,0.0,0.0,15.0,1.0
48,Talladora CNC 48,2025-03-26 00:16:00,45318.0,2.0,30.0,13.0
48,Talladora CNC 48,2025-03-27 08:02:00,28000.0,0.0,17.0,7.0
48,Talladora CNC 48,2025-04-08 16:24:00,152490.0,190.0,16.0,45.0
48,Talladora CNC 48,2025-04-15 22:27:00,90490.0,89.0,7.0,41.0
48,Talladora CNC 48,2025-04-23 12:22:00,23937.0,13.0,25.0,12.0
48,Talladora CNC 48,2025-04-25 12:11:00,21200.0,0.0,27.0,11.0
48,Talladora CNC 48,2025-05-08 07:28:00,90093.0,27.0,13.0,36.0
48,Talladora CNC 48,2025-05-23 02:30:00,182286.0,94.0,18.0,60.0
48,Talladora CNC 48,2025-05-27 07:20:00,37400.0,0.0,14.0,12.0
48,Talladora CNC 48,2025-06-02 23:32:00,89419.0,51.0,11.0,28.0
48,Talladora CNC 48,2025-06-05 14:06:00,50772.0,8.0,9.0,14.0
48,Talladora CNC 48,2025-06-18 22:45:00,125009.0,58.0,23.0,62.0
48,Talladora CNC 48,2025-06-20 08:06:00,16040.0,0.0,15.0,10.0
48,Talladora CNC 48,2025-06-25 15:25:00,51554.0,6.0,14.0,23.0
48,Talladora CNC 48,2025-07-01 04:57:00,40300.0,10.0,18.0,25.0
48,Talladora CNC 48,2025-07-01 22:44:00,20070.0,0.0,14.0,7.0
48,Talladora CNC 48,2025-07-09 03:26:00,71020.0,37.0,19.0,32.0
48,Talladora CNC 48,2025-07-16 06:46:00,51467.0,13.0,30.0,26.0
48,Talladora CNC 48,2025-08-05 04:33:00,76503.0,17.0,8.0,30.0
48,Talladora CNC 48,2025-08-05 05:01:00,0.0,0.0,6.0,1.0
48,Talladora CNC 48,2025-08-07 10:16:00,36592.0,8.0,12.0,8.0
48,Talladora CNC 48,2025-08-26 10:43:00,104922.0,8.0,7.0,29.0
48,Talladora CNC 48,2025-08-28 08:12:00,16263.0,17.0,36.0,20.0
49,Talladora49,2025-01-14 19:36:00,1033.0,7.0,32.0,17.0
49,Talladora49,2025-01-20 22:10:00,1157.0,2.0,60.0,24.0
49,Talladora49,2025-02-07 12:13:00,1939.0,12.0,61.0,34.0
49,Talladora49,2025-03-04 16:10:00,3250.0,3.0,7.0,45.0
49,Talladora49,2025-03-12 23:04:00,1410.0,0.0,31.0,21.0
49,Talladora49,2025-03-17 08:09:00,548.0,0.0,80.0,15.0
49,Talladora49,2025-03-25 17:34:00,1348.0,4.0,16.0,30.0
49,Talladora49,2025-04-11 08:35:00,1415.0,4.0,61.0,28.0
49,Talladora49,2025-04-15 20:01:00,615.0,0.0,36.0,12.0
49,Talladora49,2025-04-15 21:43:00,0.0,0.0,17.0,1.0
49,Talladora49,2025-04-28 23:38:00,1543.0,55.0,27.0,36.0
49,Talladora49,2025-05-13 18:52:00,1654.0,0.0,30.0,31.0
49,Talladora49,2025-05-15 18:45:00,433.0,2.0,37.0,6.0
49,Talladora49,2025-05-27 00:29:00,1402.0,8.0,57.0,25.0
49,Talladora49,2025-05-27 11:09:00,72.0,0.0,23.0,3.0
49,Talladora49,2025-05-30 17:57:00,960.0,0.0,10.0,18.0
49,Talladora49,2025-06-03 12:11:00,753.0,3.0,21.0,9.0
